⚕️,medical symbol doctor nurse healthcare medicine rod of asclepius
♻️,recycling symbol save the planet recycle go green sustainable eco-friendly
⚜️,fleur-de-lis fancy new orleans saints royal french symbol
🔱,trident emblem aquaman poseidon maserati weapon sea god
📛,name badge hello my name is nametag introduction who are you badge
🔰,Japanese symbol for beginner newbie noob just starting beginner learning
⭕,hollow red circle correct you got it circle this focus here target
✅,check mark button done approved yes verified task complete
☑️,check box with check checked off completed to-do list got it yes
✔️,check mark correct fact check true you're right yup
❌,cross mark incorrect wrong nope denied canceled
❎,cross mark button no decline cancel wrong answer fail
➰,curly loop loop de loop swirly doodle fancy decorative
➿,double curly loop voicemail missed call phone tag curly fancy loop
〽️,part alternation mark japanese music symbol karaoke sing along music note song part
✳️,eight-spoked asterisk sparkle shiny special note important asterisk
✴️,eight-pointed star boom pow sparkle magic starburst
❇️,sparkle shiny clean new glitter magic
©️,copyright all rights reserved don't steal my work intellectual property credit the creator
®️,registered official brand trademark registered legit authentic
™️,trade mark brand unofficial tm my thing not registered
🔠,input latin uppercase all caps yelling caps lock uppercase letters
🔡,input latin lowercase no caps chill typing lowercase letters abc
🔢,input numbers 123 math digits count numbers
🔣,input symbols &%$ symbols special characters password punctuation
🔤,input latin letters alphabet abc's typing words letters
🅰️,A button (blood type) type A blood type A+ A- medical
🆎,AB button (blood type) type AB blood type AB+ AB- medical
🅱️,B button (blood type) type B blood type B+ B- medical
🆑,CL button clear delete erase start over reset
🆒,COOL button cool story bro that's cool chill awesome rad
🆓,FREE button free stuff giveaway no cost on the house freebie
ℹ️,information for your info the more you know details info FYI
🆔,ID button show me your ID identification license who are you id card
Ⓜ️,circled M metro subway underground public transport train
🆕,NEW button new post update fresh content what's new brand new
🆖,NG button no good fail not working bad take try again
🅾️,O button (blood type) type O blood type O+ O- universal donor
🆗,OK button okay bet sounds good alright got it
🅿️,P button parking park here lot full valet car park
🆘,SOS button help me emergency in trouble send help mayday
🆙,UP! button what's up level up let's go upgrade up
🆚,VS button versus battle 1v1 fight challenge
🈁,Japanese “here” button here kokodesu i'm here location you are here
🈂️,Japanese “service charge” button service charge tip gratuity extra fee sa
🈷️,Japanese “monthly amount” button monthly fee subscription tsuki per month rent
🈶,Japanese “not free of charge” button paid yuryo not free costs money chargeable
🈯,Japanese “reserved” button reserved booked taken saved seat shitei
🉐,Japanese “bargain” button deal sale bargain toku good deal
🈹,Japanese “discount” button discount on sale cheaper waribiki coupon
🈚,Japanese “free of charge” button free muryo no charge gratis on the house
🈲,Japanese “prohibited” button prohibited kinshi forbidden not allowed banned
🉑,Japanese “acceptable” button acceptable kano okay can do permissible
🈸,Japanese “application” button apply now application moshikomi sign up form
🈴,Japanese “passing grade” button passed goukaku you passed good job A+
🈳,Japanese “vacancy” button vacancy aki room available empty we have space
㊗️,Japanese “congratulations” button congrats shuku celebration you did it well done
㊙️,Japanese “secret” button secret himitsu top secret classified spill the tea
🈺,Japanese “open for business” button open eigyou we are open come in business hours
🈵,Japanese “no vacancy” button full man no rooms sold out fully booked
🔴,red circle recording live now red dot stop danger
🟠,orange circle warning caution stand by almost orange
🟡,yellow circle be aware caution slow down yellow light yellow
🟢,green circle go online available green light good to go
🔵,blue circle blue dot info verified sad blue
🟣,purple circle purple royalty luxury posh fancy
🟤,brown circle brown chocolate earthy wood neutral
⚫,black circle black dot void darkness black hole end
⚪,white circle white dot blank empty pure new beginning
🟥,red square stop button red danger warning alert
🟧,orange square orange caution bright vibrant energetic
🟨,yellow square yellow happy sunshine caution bright
🟩,green square green go nature eco-friendly correct
🟦,blue square blue calm sad tech corporate
🟪,purple square purple luxury creative magic royalty
🟫,brown square brown earthy chocolate stable boring
⬛,black large square black square dark mode void censored redacted
⬜,white large square white square light mode blank canvas empty pure
◼️,black medium square black square bullet point dark simple box
◻️,white medium square white square checkbox light simple box
◾,black medium-small square small black square bullet dot minimal dark
◽,white medium-small square small white square checkbox dot minimal light
▪️,black small square tiny black square dot bullet point minimalist dark
▫️,white small square tiny white square dot bullet point minimalist light
🔶,large orange diamond orange diamond warning important caution gem
🔷,large blue diamond blue diamond crypto gem important cool
🔸,small orange diamond small orange diamond bullet point less important note gem
🔹,small blue diamond small blue diamond bullet point note info gem
🔺,red triangle pointed up upvote increase play button important warning
🔻,red triangle pointed down downvote decrease warning caution look down
💠,diamond with a dot fancy sparkly gem special pretty
🔘,radio button select this option choice click me button
🔳,white square button button press me ui element click simple
🔲,black square button button press me ui element click dark mode
